CensusTract,Urban,LowIncomeTracts,POP2010,PovertyRate,MedianFamilyIncome,Limited_Access,Limited_Income_Limited_Access
48453000101,Yes,No,3611,8,109429,Between half and one mile,Good access
48453000102,Yes,No,2552,3.6,195592,More than one mile,Good access
48453000203,Yes,Yes,1546,30.3,84167,Between half and one mile,Between 1/2 and 1 mile
48453000204,Yes,Yes,3009,20.6999999999999,106250,Between half and one mile,Between 1/2 and 1 mile
48453000205,Yes,No,3394,15.1,101196,Between half and one mile,Good access
48453000206,Yes,No,2687,11.1,118906,Between half and one mile,Good access
48453000302,Yes,Yes,4939,26,94440,Between half and one mile,Between 1/2 and 1 mile
48453000304,Yes,Yes,3045,28.3,91250,Between half and one mile,Between 1/2 and 1 mile
48453000305,Yes,Yes,3223,23.1999999999999,97992,More than one mile,More than 1 mile
48453000306,Yes,No,2697,17.1,90000,Between half and one mile,Good access
48453000307,Yes,Yes,1707,25.5,75260,Between half and one mile,Between 1/2 and 1 mile
48453000401,Yes,Yes,3574,25.1,110357,Between half and one mile,Between 1/2 and 1 mile
48453000402,Yes,Yes,2606,19.3999999999999,52019,Good access,Good access
48453000500,Yes,Yes,4518,38.7999999999999,71974,Between half and one mile,Between 1/2 and 1 mile
48453000601,Yes,Yes,9207,74.0999999999999,14777,More than one mile,More than 1 mile
48453000603,Yes,Yes,7793,84.5,10929,Between half and one mile,Between 1/2 and 1 mile
48453000604,Yes,Yes,6496,81.5,7083,Between half and one mile,Between 1/2 and 1 mile
48453000700,Yes,No,1339,17.8999999999999,118750,Between half and one mile,Good access
48453000801,Yes,Yes,1498,19.3,44531,Between half and one mile,Between 1/2 and 1 mile
48453000802,Yes,Yes,3067,48.5,24125,Between half and one mile,Between 1/2 and 1 mile
48453000803,Yes,Yes,2429,16,58594,Between half and one mile,Between 1/2 and 1 mile
48453000804,Yes,Yes,2295,43.2,30625,More than one mile,More than 1 mile
48453000901,Yes,Yes,2027,20.1,44773,More than one mile,More than 1 mile
48453000902,Yes,Yes,5413,30.1999999999999,36148,Between half and one mile,Between 1/2 and 1 mile
48453001000,Yes,Yes,3656,22.5,47250,More than one mile,More than 1 mile
48453001100,Yes,No,5512,13.6,250000,Between half and one mile,Good access
48453001200,Yes,No,3836,8.69999999999999,104120,Good access,Good access
48453001303,Yes,No,2871,11.1,108589,More than one mile,Good access
48453001304,Yes,No,3614,8.6,97500,More than one mile,Good access
48453001305,Yes,Yes,5488,23.3,75385,Between half and one mile,Between 1/2 and 1 mile
48453001307,Yes,Yes,3512,25.8,60521,Between half and one mile,Between 1/2 and 1 mile
48453001308,Yes,Yes,2670,18.1999999999999,56625,Between half and one mile,Between 1/2 and 1 mile
48453001401,Yes,No,2981,11.8,107171,Between half and one mile,Good access
48453001402,Yes,No,2499,12.3,91719,Between half and one mile,Good access
48453001403,Yes,Yes,1490,15.1999999999999,56645,Between half and one mile,Between 1/2 and 1 mile
48453001501,Yes,No,4787,5.7,121803,Between half and one mile,Good access
48453001503,Yes,No,3875,18.8,61919,More than one mile,Good access
48453001504,Yes,No,3925,7,80640,Between half and one mile,Good access
48453001505,Yes,No,4061,18.8,86280,Between half and one mile,Good access
48453001602,Yes,Yes,3301,13.1999999999999,55882,Between half and one mile,Between 1/2 and 1 mile
48453001603,Yes,No,4405,2.7,138710,Between half and one mile,Good access
48453001604,Yes,No,3984,3.6,198043,Between half and one mile,Good access
48453001605,Yes,No,3743,11.6,141042,Between half and one mile,Good access
48453001606,Yes,Yes,383,70.2,0,Good access,Good access
48453001705,Yes,No,4662,2.8,138952,More than one mile,Good access
48453001706,Yes,No,3321,4.7,114478,Between half and one mile,Good access
48453001707,Yes,No,4305,9.5,101917,Between half and one mile,Good access
48453001712,Yes,Yes,4008,13.6999999999999,61574,Between half and one mile,Between 1/2 and 1 mile
48453001713,Yes,Yes,3986,15.9,60833,Between half and one mile,Between 1/2 and 1 mile
48453001714,Yes,No,13159,7.5,114643,More than one mile,Good access
48453001716,Yes,No,5039,5.1,132083,More than one mile,Good access
48453001718,Yes,No,5442,7.7,117417,Between half and one mile,Good access
48453001719,Yes,No,3793,3.4,156531,More than one mile,Good access
48453001722,Yes,No,3592,5.8,64931,Between half and one mile,Good access
48453001728,Yes,No,6952,7.2,77696,More than one mile,Good access
48453001729,Yes,No,4607,5.8,77131,More than one mile,Good access
48453001733,No,No,3268,5.2,123750,Good access,Good access
48453001737,Yes,No,10039,2.4,121165,More than one mile,Good access
48453001738,Yes,No,6647,4.8,111723,More than one mile,Good access
48453001740,Yes,No,4114,7,95806,Between half and one mile,Good access
48453001741,Yes,No,3645,6.4,105595,More than one mile,Good access
48453001742,No,No,5453,18.3999999999999,89853,Good access,Good access
48453001745,Yes,No,2322,8.8,93611,More than one mile,Good access
48453001746,Yes,No,3916,7.4,74722,Between half and one mile,Good access
48453001747,Yes,No,5105,16.5,70281,Between half and one mile,Good access
48453001748,Yes,No,5492,9.69999999999999,81700,Between half and one mile,Good access
48453001749,Yes,No,5989,7.8,85096,Between half and one mile,Good access
48453001750,Yes,No,4947,13.9,87847,Between half and one mile,Good access
48453001751,Yes,No,2065,3.5,128942,Between half and one mile,Good access
48453001752,Yes,Yes,3583,31.5,35571,Between half and one mile,Between 1/2 and 1 mile
48453001753,Yes,No,1121,10.8,66250,Good access,Good access
48453001754,Yes,No,4599,7.4,97778,More than one mile,Good access
48453001755,Yes,No,5769,1.9,187222,More than one mile,Good access
48453001756,Yes,No,3997,3.1,104306,Between half and one mile,Good access
48453001757,Yes,No,1934,4.9,145368,Between half and one mile,Good access
48453001760,Yes,No,14256,2.3,133521,More than one mile,Good access
48453001761,Yes,No,7022,6.2,155724,More than one mile,Good access
48453001764,No,No,5789,5.5,114805,Good access,Good access
48453001765,Yes,No,12976,4.5,134773,More than one mile,Good access
48453001766,No,No,6767,11.4,69504,Good access,Good access
48453001768,No,No,5656,4.2,112171,Good access,Good access
48453001769,Yes,No,5374,5.8,85652,More than one mile,Good access
48453001770,Yes,No,11417,1.5,136809,More than one mile,Good access
48453001771,Yes,No,4229,3.9,126250,More than one mile,Good access
48453001772,Yes,No,3095,7.3,80417,More than one mile,Good access
48453001773,Yes,No,5387,4.7,146845,More than one mile,Good access
48453001774,Yes,No,8161,3.1,99107,More than one mile,Good access
48453001775,No,No,4973,1.1,136042,Good access,Good access
48453001776,Yes,No,2803,8,81618,Between half and one mile,Good access
48453001777,Yes,No,5535,6.9,91926,More than one mile,Good access
48453001778,Yes,No,3909,9,115132,More than one mile,Good access
48453001779,Yes,No,5715,6.1,85448,More than one mile,Good access
48453001780,No,No,3825,8.19999999999999,80795,Good access,Good access
48453001781,Yes,No,2251,5.4,130104,More than one mile,Good access
48453001782,Yes,No,4955,12.3,122284,More than one mile,Good access
48453001783,Yes,No,5180,4,126107,More than one mile,Good access
48453001784,Yes,No,5552,3,161607,More than one mile,Good access
48453001785,Yes,No,4025,6.5,66545,Between half and one mile,Good access
48453001786,Yes,No,4676,7.5,73005,Between half and one mile,Good access
48453001804,Yes,Yes,6362,35.2999999999999,33119,More than one mile,More than 1 mile
48453001805,Yes,Yes,4750,34,28538,Between half and one mile,Between 1/2 and 1 mile
48453001806,Yes,Yes,5550,32.7,24866,Between half and one mile,Between 1/2 and 1 mile
48453001811,Yes,Yes,3546,45.2999999999999,31462,Between half and one mile,Between 1/2 and 1 mile
48453001812,Yes,Yes,7549,37,27056,Good access,Good access
48453001813,Yes,Yes,5853,32.2,29556,More than one mile,More than 1 mile
48453001817,Yes,No,3616,10.6999999999999,73047,Between half and one mile,Good access
48453001818,Yes,Yes,5341,38.2999999999999,37075,Between half and one mile,Between 1/2 and 1 mile
48453001819,Yes,Yes,4265,43.8999999999999,26429,Between half and one mile,Between 1/2 and 1 mile
48453001820,Yes,Yes,7812,37.1,32102,Between half and one mile,Between 1/2 and 1 mile
48453001821,Yes,Yes,5204,24.1,47632,More than one mile,More than 1 mile
48453001822,Yes,Yes,6573,27.1,40086,Between half and one mile,Between 1/2 and 1 mile
48453001823,Yes,Yes,6478,35.6,29757,Between half and one mile,Between 1/2 and 1 mile
48453001824,Yes,Yes,1734,12.3,59896,Between half and one mile,Between 1/2 and 1 mile
48453001826,Yes,No,2276,8.3,72946,Between half and one mile,Good access
48453001828,Yes,No,3943,2,106322,More than one mile,Good access
48453001829,Yes,No,2443,6,77009,Between half and one mile,Good access
48453001832,Yes,Yes,2509,21.8999999999999,36750,More than one mile,More than 1 mile
48453001833,Yes,Yes,7089,29.6999999999999,51213,More than one mile,More than 1 mile
48453001834,Yes,No,8204,10.8,66081,More than one mile,Good access
48453001835,Yes,Yes,5000,30.8,46620,More than one mile,More than 1 mile
48453001839,Yes,No,7267,10.1999999999999,72828,More than one mile,Good access
48453001840,Yes,No,9004,15.6999999999999,62902,More than one mile,Good access
48453001841,Yes,No,16495,12.4,80088,More than one mile,Good access
48453001842,No,Yes,7535,14.5,57981,Good access,Good access
48453001843,Yes,No,2272,15.6,86250,More than one mile,Good access
48453001844,Yes,Yes,3668,14.3,43562,More than one mile,More than 1 mile
48453001845,Yes,Yes,3111,20.1,75444,Between half and one mile,Between 1/2 and 1 mile
48453001846,Yes,No,2379,12.1999999999999,101250,More than one mile,Good access
48453001847,Yes,No,6752,16.1,69880,More than one mile,Good access
48453001848,Yes,No,4515,11.5,65653,Between half and one mile,Good access
48453001849,Yes,No,5627,8.3,67040,Between half and one mile,Good access
48453001850,Yes,Yes,3890,11.5,50746,Between half and one mile,Between 1/2 and 1 mile
48453001851,Yes,No,9078,13.4,76179,More than one mile,Good access
48453001853,Yes,No,3255,3.9,92407,Between half and one mile,Good access
48453001854,No,No,4915,12.6,70625,Good access,Good access
48453001855,Yes,No,13259,13.3,67468,More than one mile,Good access
48453001856,No,No,5308,7.8,86017,Good access,Good access
48453001857,Yes,Yes,5623,10.6999999999999,61250,More than one mile,More than 1 mile
48453001858,Yes,No,15316,1.9,107828,More than one mile,Good access
48453001859,No,No,1344,8.69999999999999,94438,Good access,Good access
48453001860,Yes,Yes,3859,15.5,55034,More than one mile,More than 1 mile
48453001861,Yes,No,4545,7.6,80882,More than one mile,Good access
48453001862,Yes,No,5705,11.1,100398,More than one mile,Good access
48453001863,Yes,Yes,3401,27.6,34922,More than one mile,More than 1 mile
48453001864,Yes,No,2814,12.5,62232,More than one mile,Good access
48453001901,Yes,No,5207,8.19999999999999,114493,More than one mile,Good access
48453001908,No,No,8403,12.3,144868,Good access,Good access
48453001910,Yes,No,4210,5.9,132177,Between half and one mile,Good access
48453001911,Yes,No,2825,5.6,89286,Between half and one mile,Good access
48453001912,Yes,No,4162,8.19999999999999,250000,More than one mile,Good access
48453001913,Yes,No,4865,2.6,217500,More than one mile,Good access
48453001914,Yes,No,6013,3,140804,More than one mile,Good access
48453001915,Yes,No,1469,5.7,77295,More than one mile,Good access
48453001916,Yes,No,3188,2.3,222583,More than one mile,Good access
48453001917,Yes,No,4709,6.9,164805,More than one mile,Good access
48453001918,Yes,No,2291,7.6,172750,More than one mile,Good access
48453001919,Yes,No,3573,2.3,167283,Between half and one mile,Good access
48453002002,Yes,No,2865,8.69999999999999,92024,Between half and one mile,Good access
48453002003,Yes,Yes,3653,30.8,43105,Between half and one mile,Between 1/2 and 1 mile
48453002004,Yes,Yes,2191,14.4,36141,Between half and one mile,Between 1/2 and 1 mile
48453002005,Yes,Yes,4729,32.7,49375,Between half and one mile,Between 1/2 and 1 mile
48453002104,Yes,Yes,2867,29.6999999999999,56875,Good access,Good access
48453002105,Yes,Yes,4536,32.8999999999999,28050,Good access,Good access
48453002106,Yes,Yes,3027,25.8,63281,Between half and one mile,Between 1/2 and 1 mile
48453002107,Yes,Yes,3712,30.5,45245,Between half and one mile,Between 1/2 and 1 mile
48453002108,Yes,Yes,3143,38.6,43693,More than one mile,More than 1 mile
48453002109,Yes,Yes,3830,24.3,43009,More than one mile,More than 1 mile
48453002110,Yes,Yes,4222,37.3999999999999,35711,More than one mile,More than 1 mile
48453002111,Yes,Yes,4747,36.1,35139,More than one mile,More than 1 mile
48453002112,Yes,Yes,4996,35.3999999999999,33406,Between half and one mile,Between 1/2 and 1 mile
48453002113,Yes,Yes,3571,23.8,63611,Between half and one mile,Between 1/2 and 1 mile
48453002201,Yes,Yes,1905,23.5,39500,Between half and one mile,Between 1/2 and 1 mile
48453002202,Yes,Yes,8039,36.1,30175,More than one mile,More than 1 mile
48453002207,Yes,Yes,8379,18.8,55200,More than one mile,More than 1 mile
48453002208,Yes,Yes,7525,35.8999999999999,38239,More than one mile,More than 1 mile
48453002209,No,Yes,8082,17.8999999999999,58285,Good access,Good access
48453002210,No,No,3492,19.8999999999999,68812,Good access,Good access
48453002211,Yes,Yes,2220,17.3999999999999,55667,More than one mile,More than 1 mile
48453002212,No,Yes,567,0,56250,Good access,Good access
48453002304,Yes,Yes,2794,38.5,19770,Good access,Good access
48453002307,Yes,Yes,5270,25.6999999999999,35753,More than one mile,More than 1 mile
48453002308,Yes,Yes,6353,30.5,33711,Between half and one mile,Between 1/2 and 1 mile
48453002310,Yes,Yes,3242,43.1,35639,More than one mile,More than 1 mile
48453002312,Yes,Yes,7157,40,31591,Between half and one mile,Between 1/2 and 1 mile
48453002313,Yes,Yes,4311,23,37581,More than one mile,More than 1 mile
48453002314,Yes,Yes,4467,40.7999999999999,24034,Between half and one mile,Between 1/2 and 1 mile
48453002315,Yes,Yes,2941,42.5,30650,Between half and one mile,Between 1/2 and 1 mile
48453002316,Yes,Yes,4787,41.1,18605,Good access,Good access
48453002317,Yes,Yes,5181,66.5999999999999,33125,Between half and one mile,Between 1/2 and 1 mile
48453002318,Yes,Yes,6451,60.3999999999999,11769,Between half and one mile,Between 1/2 and 1 mile
48453002319,Yes,Yes,1945,71.4,0,More than one mile,More than 1 mile
48453002402,Yes,Yes,7082,20.6999999999999,47981,Between half and one mile,Between 1/2 and 1 mile
48453002403,Yes,Yes,2616,17,49976,Between half and one mile,Between 1/2 and 1 mile
48453002407,Yes,No,4491,4.9,86680,More than one mile,Good access
48453002409,Yes,Yes,3180,17,44655,Between half and one mile,Between 1/2 and 1 mile
48453002410,Yes,Yes,3773,25.3999999999999,39471,Good access,Good access
48453002411,Yes,Yes,6161,41.5,30911,More than one mile,More than 1 mile
48453002412,Yes,Yes,5782,25.5,45833,More than one mile,More than 1 mile
48453002413,Yes,Yes,4455,43.5,30585,More than one mile,More than 1 mile
48453002419,Yes,Yes,3890,32.3999999999999,26667,Between half and one mile,Between 1/2 and 1 mile
48453002421,Yes,No,7443,12,64583,More than one mile,Good access
48453002422,Yes,Yes,5472,20.8999999999999,44732,Between half and one mile,Between 1/2 and 1 mile
48453002423,Yes,Yes,5383,10.1999999999999,57309,More than one mile,More than 1 mile
48453002424,Yes,Yes,3379,19.8999999999999,54798,Between half and one mile,Between 1/2 and 1 mile
48453002425,Yes,No,2798,2,73482,Between half and one mile,Good access
48453002426,Yes,No,7490,9.6,71975,More than one mile,Good access
48453002427,Yes,Yes,7995,29,40031,More than one mile,More than 1 mile
48453002428,Yes,No,5618,6.8,62168,More than one mile,Good access
48453002429,Yes,No,752,13.1,100909,More than one mile,Good access
48453002430,Yes,Yes,3422,18.1,50594,More than one mile,More than 1 mile
48453002431,No,Yes,7110,22.1,51169,Good access,Good access
48453002432,No,Yes,2070,30.8,41833,Good access,Good access
48453002433,No,Yes,5981,18.1999999999999,51520,Good access,Good access
48453002434,No,Yes,1718,26.1999999999999,52361,Good access,Good access
48453002435,No,Yes,7560,25,45853,Good access,Good access
48453002436,No,Yes,2672,24.6999999999999,37850,Good access,Good access
48453002500,Yes,No,5163,7.6,110875,More than one mile,Good access
48453980000,No,No,0,0,0,Good access,Good access
